"Бородина 3-й";"проезд";"58000001000008000";"440066";"5835";;"56401373000"
"Ботаническая";"ул";"58000001000008100";"440014";"5834";;"56401364000"
"Ботанический";"проезд";"58000001000008200";"440014";"5834";;"56401364000"
"Брестская";"ул";"58000001000008300";"440068";"5837";;"56401377000"
"Бригадная";"ул";"58000001000008400";"440003";"5837";;"56401377000"
"Бригадный";"туп";"58000001000008500";"440003";"5837";;"56401377000"
"Брянская";"ул";"58000001000008700";"440011";"5836";;"56401368000"
"Будашкина";"ул";"58000001000008800";"440011";"5836";;"56401368000"
"Будашкина";"проезд";"58000001000008900";"440011";"5836";;"56401368000"
"Бумажников";"ул";"58000001000009000";"440007";"5834";;"56401364000"
"Бурденко";"ул";"58000001000009100";"440009";"5836";;"56401368000"
"Бурмистрова";"ул";"58000001000009200";"440031";"5837";;"56401377000"
"Бурмистрова 1-й";"проезд";"58000001000009300";"440031";"5837";;"56401377000"
"Бурмистрова 2-й";"проезд";"58000001000009400";"440031";"5837";;"56401377000"
"Бурмистрова 3-й";"проезд";"58000001000009500";"440031";"5837";;"56401377000"
"Буровая";"ул";"58000001000009600";"440067";"5834";;"56401364000"
"Буровой";"пер";"58000001000009700";"440067";"5834";;"56401364000"
"Бухарская";"ул";"58000001000009800";"440031";"5837";;"56401377000"
"Бухарский 1-й";"проезд";"58000001000009900";"440031";"5837";;"56401377000"
"Бухарский 2-й";"проезд";"58000001000010000";"440031";"5837";;"56401377000"
"Вадинская";"ул";"58000001000010100";"440068";"5837";;"56401377000"
"Ватутина";"ул";"58000001000010200";"440034";"5837";;"56401377000"
"Верещагина";"ул";"58000001000010300";"440023";"5834";;"56401364000"
"Верещагина 1-й";"пер";"58000001000010400";"440023";"5834";;"56401364000"
"Верещагина 2-й";"пер";"58000001000010500";"440023";"5834";;"56401364000"
"Верещагина 3-й";"пер";"58000001000010600";"440023";"5834";;"56401364000"
"Верстовского";"ул";"58000001000010700";"440066";"5835";;"56401373000"
"Верстовского 1-й";"проезд";"58000001000010800";"440066";"5835";;"56401373000"
"Верстовского 2-й";"проезд";"58000001000010900";"440066";"5835";;"56401373000"
"Верхневишневая";"ул";"58000001000011000";"440052";"5837";;"56401377000"
"Вильямса";"ул";"58000001000011100";"440014";"5834";;"56401364000"
"Виноградная";"ул";"58000001000011200";"440066";"5835";;"56401373000"
"Виноградный 2-й";"проезд";"58000001000011300";"440066";"5835";;"56401373000"
"Виноградный 3-й";"проезд";"58000001000011400";"440066";"5835";;"56401373000"
